2023                                                                         2023-02-07;Code-001602;53641;125032;WHEAT-SRW - CHICAGO BOARD OF TRADE
2023                                                                         2023-02-07;Code-001612;38757;34975;WHEAT-HRW - CHICAGO BOARD OF TRADE
2023                                                                         2023-02-07;Code-001626;5759;6054;WHEAT-HRSpring - MINNEAPOLIS GRAIN EXCHANGE
2023                                                                         2023-02-07;Code-002602;285344;83326;CORN - CHICAGO BOARD OF TRADE
2023                                                                         2023-02-07;Code-004603;81;689;OATS - CHICAGO BOARD OF TRADE
2023                                                                         2023-02-07;Code-039601;1007;1408;ROUGH RICE - CHICAGO BOARD OF TRADE
2023                                                                         2023-02-07;Code-054642;47519;59437;LEAN HOGS - CHICAGO MERCANTILE EXCHANGE
2023                                                                         2023-02-07;Code-057642;116261;20651;LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE
2023                                                                         2023-02-07;Code-061641;10719;11473;FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE
2023                                                                         2023-02-07;Code-050642;0.0;3.2;BUTTER (CASH SETTLED) - CHICAGO MERCANTILE EXCHANGE
2023                                                                         2023-02-07;Code-052641;285;4468;MILK, Class III - CHICAGO MERCANTILE EXCHANGE
2023                                                                         2023-02-07;Code-052642;0.0;3.4;NON FAT DRY MILK - CHICAGO MERCANTILE EXCHANGE
2023                                                                         2023-02-07;Code-052644;3.4;0.0;CME MILK IV - CHICAGO MERCANTILE EXCHANGE
2023                                                                         2023-02-07;Code-063642;0.0;4.7;CHEESE (CASH-SETTLED) - CHICAGO MERCANTILE EXCHANGE
2023                                                                         2023-02-07;Code-005602;187873;22798;SOYBEANS - CHICAGO BOARD OF TRADE
2023                                                                         2023-02-07;Code-007601;55855;33360;SOYBEAN OIL - CHICAGO BOARD OF TRADE
2023                                                                         2023-02-07;Code-026603;149503;6793;SOYBEAN MEAL - CHICAGO BOARD OF TRADE
2023                                                                         2023-02-07;Code-037021;79.0;74.6;USD Malaysian Crude Palm Oil C - CHICAGO MERCANTILE EXCHANGE
2023                                                                         2023-02-07;Code-135731;13033;48036;CANOLA - ICE FUTURES U.S.
2023                                                                         2023-02-07;Code-033661;33193;30839;COTTON NO. 2 - ICE FUTURES U.S.
2023                                                                         2023-02-07;Code-040701;6424;311;FRZN CONCENTRATED ORANGE JUICE - ICE FUTURES U.S.
2023                                                                         2023-02-07;Code-073732;54358;53865;COCOA - ICE FUTURES U.S.
2023                                                                         2023-02-07;Code-080732;279379;55177;SUGAR NO. 11 - ICE FUTURES U.S.
2023                                                                         2023-02-07;Code-083731;27478;34481;COFFEE C - ICE FUTURES U.S.
2023                                                                         2023-02-07;Code-083736;0.0;0.0;COFFEE CALENDAR SPREAD OPTIONS - ICE FUTURES U.S.
2023                                                                         2023-02-07;Code-021397;0.0;0.0;MARINE FUEL OIL 0.5% FOB USGC - ICE FUTURES ENERGY DIV
2023                                                                         2023-02-07;Code-02141B;0.0;0.0;USGC HSFO (PLATTS) - ICE FUTURES ENERGY DIV
2023                                                                         2023-02-07;Code-02141C;1.7;0.0;FUEL OIL-3% USGC/3.5% FOB RDAM - ICE FUTURES ENERGY DIV
2023                                                                         2023-02-07;Code-02141R;0.0;0.0;USGC HSFO-PLATTS/BRENT 1ST LN - ICE FUTURES ENERGY DIV
2023                                                                         2023-02-07;Code-022651;23427;9954;NY HARBOR ULSD - NEW YORK MERCANTILE EXCHANGE
2023                                                                         2023-02-07;Code-025608;0.0;0.0;ETHANOL T2 FOB INCL DUTY - NEW YORK MERCANTILE EXCHANGE
2023                                                                         2023-02-07;Code-025651;2818;246;ETHANOL - NEW YORK MERCANTILE EXCHANGE
2023                                                                         2023-02-07;Code-06739C;3.0;0.0;CRUDE DIFF-WCS HOUSTON/WTI 1ST - ICE FUTURES ENERGY DIV
2023                                                                         2023-02-07;Code-067411;5672;27532;CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE
2023                                                                         2023-02-07;Code-06742G;0.3;0.0;CRUDE DIFF-TMX WCS 1A INDEX - ICE FUTURES ENERGY DIV
2023                                                                         2023-02-07;Code-06742T;0.0;0.0;CRUDE DIFF-TMX SW 1A INDEX - ICE FUTURES ENERGY DIV
2023                                                                         2023-02-07;Code-06743A;0.0;0.0;CONDENSATE DIF-TMX C5 1A INDEX - ICE FUTURES ENERGY DIV
2023                                                                         2023-02-07;Code-067651;231397;56782;WTI-PHYSICAL - NEW YORK MERCANTILE EXCHANGE
2023                                                                         2023-02-07;Code-06765A;0.0;0.0;WTI FINANCIAL CRUDE OIL - NEW YORK MERCANTILE EXCHANGE
2023                                                                         2023-02-07;Code-06765C;0.0;0.0;CRUDE OIL AVG PRICE OPTIONS - NEW YORK MERCANTILE EXCHANGE
2023                                                                         2023-02-07;Code-06765T;4098;4594;BRENT LAST DAY - NEW YORK MERCANTILE EXCHANGE
2023                                                                         2023-02-07;Code-0676A5;7040;1100;WTI HOUSTON ARGUS/WTI TR MO - NEW YORK MERCANTILE EXCHANGE
2023                                                                         2023-02-07;Code-067A71;0.0;0.0;WTI MIDLAND ARGUS VS WTI TRADE - NEW YORK MERCANTILE EXCHANGE
2023                                                                         2023-02-07;Code-111659;62673;4709;GASOLINE RBOB - NEW YORK MERCANTILE EXCHANGE
2023                                                                         2023-02-07;Code-86465A;0.0;5.5;GULF JET NY HEAT OIL SPR - NEW YORK MERCANTILE EXCHANGE
2023                                                                         2023-02-07;Code-865392;0.0;0.0;MARINE .5% FOB USGC/BRENT 1st - ICE FUTURES ENERGY DIV
2023                                                                         2023-02-07;Code-86565A;0.0;0.0;GULF # 6 FUEL OIL CRACK - NEW YORK MERCANTILE EXCHANGE
2023                                                                         2023-02-07;Code-023391;109964;262215;NAT GAS ICE LD1 - ICE FUTURES ENERGY DIV
2023                                                                         2023-02-07;Code-023392;18799;75964;NAT GAS ICE PEN - ICE FUTURES ENERGY DIV
2023                                                                         2023-02-07;Code-023393;5254;4526;SOCAL BORDER FIN BASIS - ICE FUTURES ENERGY DIV
2023                                                                         2023-02-07;Code-023394;0.0;1.0;PG&E CITYGATE FIN BASIS - ICE FUTURES ENERGY DIV
2023                                                                         2023-02-07;Code-023395;17764;8310;NWP ROCKIES FIN BASIS - ICE FUTURES ENERGY DIV
2023                                                                         2023-02-07;Code-023396;58.6;71.5;AECO FIN BASIS - ICE FUTURES ENERGY DIV
2023                                                                         2023-02-07;Code-023397;0.9;0.0;CHICAGO FIN BASIS - ICE FUTURES ENERGY DIV
2023                                                                         2023-02-07;Code-023398;425;3059;HSC FIN BASIS - ICE FUTURES ENERGY DIV
2023                                                                         2023-02-07;Code-023399;210;7033;WAHA FIN BASIS - ICE FUTURES ENERGY DIV
2023                                                                         2023-02-07;Code-02339Q;0.0;0.5;CHICAGO CITYGATE (INDEX) - ICE FUTURES ENERGY DIV
2023                                                                         2023-02-07;Code-02339U;104;21941;CIG ROCKIES BASIS - ICE FUTURES ENERGY DIV
2023                                                                         2023-02-07;Code-02339W;0.0;4.0;TCO Basis - ICE FUTURES ENERGY DIV
2023                                                                         2023-02-07;Code-02339Y;0.3;0.0;CG Mainline Basis - ICE FUTURES ENERGY DIV
2023                                                                         2023-02-07;Code-0233A2;17.6;0.0;DOMINION - SOUTH POINT - ICE FUTURES ENERGY DIV
2023                                                                         2023-02-07;Code-0233A3;82027;2107;DOMINION - SOUTH POINT (BASIS) - ICE FUTURES ENERGY DIV
2023                                                                         2023-02-07;Code-0233A8;10.9;0.0;EP SAN JUAN BASIS - ICE FUTURES ENERGY DIV
2023                                                                         2023-02-07;Code-0233AG;0.0;12.1;HENRY HUB BASIS - ICE FUTURES ENERGY DIV
2023                                                                         2023-02-07;Code-0233AH;1312;33083;HENRY HUB INDEX - ICE FUTURES ENERGY DIV
2023                                                                         2023-02-07;Code-0233AM;1582;11145;HOUSTON SHIP CHANNEL (INDEX) - ICE FUTURES ENERGY DIV
2023                                                                         2023-02-07;Code-0233AN;4890;2464;MICHCON FINANCIAL INDEX - ICE FUTURES ENERGY DIV
2023                                                                         2023-02-07;Code-0233AQ;6998;695;MICHCON BASIS - ICE FUTURES ENERGY DIV
2023                                                                         2023-02-07;Code-0233AT;0.0;1.4;NAT GAS LD1 for GDD -TEXOK - ICE FUTURES ENERGY DIV
2023                                                                         2023-02-07;Code-0233B1;3.6;0.0;NGPL TXOK BASIS - ICE FUTURES ENERGY DIV
